sysname Tnuc
LJ_fcc100_a8e8 200.0
LJ_fcc100_a8e9 200.0
LJ_fcc100_a8e10 200.0
LJ_fcc100_a9e1 200.84
LJ_fcc100_a9e2 202.6
LJ_fcc100_a9e3 200.0
LJ_fcc100_a9e4 200.0
LJ_fcc100_a9e5 200.0
LJ_fcc100_a9e6 200.0
LJ_fcc100_a9e7 200.0
LJ_fcc100_a9e8 200.0
LJ_fcc100_a9e9 201.1
LJ_fcc100_a9e10 200.0
LJ_fcc100_a10e1 200.0
LJ_fcc100_a10e2 205.84
LJ_fcc100_a10e3 200.76
LJ_fcc100_a10e4 200.0
LJ_fcc100_a10e5 200.0
LJ_fcc100_a10e6 200.0
LJ_fcc100_a10e7 200.0
LJ_fcc100_a10e8 200.0
LJ_fcc100_a10e9 200.0
LJ_fcc100_a10e10 200.0
LJ_fcc110_a1e1 202.0
LJ_fcc110_a1e2 212.02
LJ_fcc110_a1e3 236.8
LJ_fcc110_a1e4 238.9
LJ_fcc110_a1e5 239.14
LJ_fcc110_a1e6 237.52
LJ_fcc110_a1e7 235.08
LJ_fcc110_a1e8 235.32
LJ_fcc110_a1e9 230.6
LJ_fcc110_a1e10 225.94
LJ_fcc110_a2e1 204.88
LJ_fcc110_a2e2 217.38
LJ_fcc110_a2e3 236.22
LJ_fcc110_a2e4 239.4
LJ_fcc110_a2e5 238.84
LJ_fcc110_a2e6 233.62
LJ_fcc110_a2e7 223.36
LJ_fcc110_a2e8 220.16
LJ_fcc110_a2e9 215.92
LJ_fcc110_a2e10 217.8
LJ_fcc110_a3e1 207.14
LJ_fcc110_a3e2 220.22
LJ_fcc110_a3e3 244.36
LJ_fcc110_a3e4 241.96
LJ_fcc110_a3e5 233.18
LJ_fcc110_a3e6 215.84
LJ_fcc110_a3e7 213.12
LJ_fcc110_a3e8 204.32
LJ_fcc110_a3e9 202.52
LJ_fcc110_a3e10 205.32
LJ_fcc110_a4e1 204.12
LJ_fcc110_a4e2 216.02
LJ_fcc110_a4e3 233.58
LJ_fcc110_a4e4 218.52
LJ_fcc110_a4e5 209.64
LJ_fcc110_a4e6 205.72
LJ_fcc110_a4e7 206.66
LJ_fcc110_a4e8 201.76
LJ_fcc110_a4e9 201.5
LJ_fcc110_a4e10 201.44
LJ_fcc110_a5e1 201.26
LJ_fcc110_a5e2 212.6
LJ_fcc110_a5e3 215.66
LJ_fcc110_a5e4 215.76
LJ_fcc110_a5e5 213.34
LJ_fcc110_a5e6 204.38
LJ_fcc110_a5e7 201.78
LJ_fcc110_a5e8 206.44
LJ_fcc110_a5e9 208.54
LJ_fcc110_a5e10 207.64
LJ_fcc110_a6e1 202.02
LJ_fcc110_a6e2 206.0
LJ_fcc110_a6e3 222.9
LJ_fcc110_a6e4 208.12
LJ_fcc110_a6e5 212.48
LJ_fcc110_a6e6 212.7
LJ_fcc110_a6e7 216.42
LJ_fcc110_a6e8 219.2
LJ_fcc110_a6e9 217.44
LJ_fcc110_a6e10 217.52
LJ_fcc110_a7e1 200.0
LJ_fcc110_a7e2 203.52
LJ_fcc110_a7e3 207.32
LJ_fcc110_a7e4 211.34
LJ_fcc110_a7e5 216.8
LJ_fcc110_a7e6 214.36
